net,length_um
net82,1403.96
net79,1374.72
net80,1298.36
net44,1289.66
net52,1259.195
net111,1249.995
net197,1197.06
net110,1168.29
net66,1158.06
net220,1148.94
_15111_,1141.78
net229,1139.22
net152,1136.46
_18267_,1127
net177,1124.14
net69,1120.47
net211,1113.28
net78,1109.43
net88,1105.1
_15695_,1095.08
net145,1094.29
net237,1091.84
_12395_,1091.5
_18042_,1083.97
_15112_,1075.28
_18461_,1074.44
_18196_,1073.32
net218,1071.68
_17905_,1071.09
net175,1068.5
net46,1066.13
_15102_,1059.05
net37,1059.05
net62,1058.32
net198,1056.06
net21,1055.95
net129,1054.96
_17987_,1053.61
net160,1051.14
net189,1022.81
net206,1013.14
net74,1012.87
net93,1007.84
net169,997.34
net171,994.44
net137,986.71
net104,984.26
net112,981.26
net196,972.655
net262,968.12
net249,967.42
_07777_,955.03
net36,947.82
net24,930
net244,927.51
net91,918.65
net195,918.54
net154,912.515
net187,904.655
net416,904.02
net106,897.13
net226,895.45
net241,887.84
net55,887.46
net162,881.52
net86,878.08
net232,871.14
_18195_,870.32
net188,866.08
net227,861.78
net50,858.385
net178,852.45
clknet_0_clk,848.24
net252,847.2
net170,841.68
clknet_2_0_0_clk,841.02
net166,840.28
net6,839.94
net109,836.6
net243,828.22
net143,814.64
_15109_,813.65
net149,812.94
_15548_,810.22
net124,809.08
net254,808.42
net146,802.53
_07910_,801.47
_15113_,795.54
net165,788.84
_15107_,788.74
net234,787.72
clknet_2_3_0_clk,786.39
net247,785.18
net5,784.46
net117,782.78
net2,773.68
net29,771.86
_15105_,770.4
net123,769.5
_13643_,767.86
net235,762.6
net222,760
_15160_,757.11
_15159_,754.08
clknet_2_1_0_clk,749.39
net100,744.54
clknet_2_2_0_clk,739.8
net210,735.72
net48,731.9
net202,721.72
_07766_,719.94
_15547_,716.64
net192,716.42
net238,712.465
net253,703.91
net173,703.66
net213,698.18
clk,688.11
net14,684.34
net15,683.63
_18197_,681.6
_07737_,681.23
net256,676.86
net128,674.135
_15110_,673.13
net77,673.02
net221,672.46
net30,671.15
net130,668.2
net95,667.2
net114,665.56
_18037_,664.67
net147,662.705
net19,662.17
net236,661.71
net122,660.34
net224,653.62
net182,651.83
net183,646.58
net153,642.19
_07738_,641.475
net215,631.24
net239,629.4
net116,626.49
net71,625.23
_15963_,624
net356,623.38
net190,622.98
net212,622.32
post_mul_gen\[0\].u_post_mul.valid_s1,618.6
net164,618.5
net140,614.64
net142,609.52
net176,607.36
net208,605.44
net1,604.7
net97,602.78
net261,598.1
net242,597.94
net43,596.38
net35,594.18
net159,593.74
net240,592.25
net127,582.16
net89,576.3
net201,576.08
net223,575.24
net185,572.525
net251,572
net255,570.94
net199,567.36
net51,566.12
net161,563.345
net2223,562.28
net45,559.34
net150,555.275
net92,554.81
net115,554.62
net263,551.5
_04774_,540.9
net58,540.12
net225,535.48
net228,526.67
net157,526.2
net133,524.9
net102,517.39
clknet_5_27__leaf_clk,512.92
clknet_5_19__leaf_clk,510.77
net32,508.55
net186,504.52
u_array.row_gen\[3\].col_gen\[0\].u_pe.w_out,500.64
_15104_,499.75
net76,499.34
_15698_,497.64
_07765_,494.72
_17911_,489.4
net144,487
net7,486.26
clknet_5_26__leaf_clk,484.42
net38,484.335
net181,484.285
_07980_,480.19
_07758_,480.15
net105,477.38
net136,476.66
net16,475.54
net120,473.18
clknet_5_30__leaf_clk,471.42
net70,470.94
net107,465.98
net250,465.72
_15546_,462.58
clknet_5_28__leaf_clk,455.38
_15108_,454.59
net63,454.18
net34,454.14
net3,451.66
clknet_5_24__leaf_clk,451.12
net264,449.14
net168,447.805
net65,446.31
net207,442.82
clknet_5_23__leaf_clk,439.96
net40,438.28
net217,436.4
net94,433.81
net4,430.24
_13653_,429.465
net28,427.66
clknet_5_11__leaf_clk,427.36
net12,425.6
net27,424.945
clknet_5_1__leaf_clk,424.79
clknet_5_3__leaf_clk,422.46
_14324_,419.78
net139,419.32
clknet_5_9__leaf_clk,419.1
net205,418.3
clknet_5_16__leaf_clk,414.53
_13820_,411.28
_06823_,409.62
net135,406.77
clknet_5_21__leaf_clk,402.58
net57,402.54
_14325_,401.79
clknet_5_25__leaf_clk,401.74
_14318_,400.32
net179,399.92
net18,398.01
clknet_5_22__leaf_clk,395.68
clknet_5_13__leaf_clk,394.49
net64,393.7
_14334_,392.83
clknet_5_2__leaf_clk,392.19
net172,391.1
_13649_,388.56
_14339_,386.46
_10336_,385.38
net134,385.22
net414,384.96
net33,384.22
_10319_,384.15
_11071_,383.64
net174,382.38
_15699_,381.55
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.valid_out,380.06
clknet_5_18__leaf_clk,379.32
net119,378.74
u_array.p_wire\[14\]\[7\],378.47
u_array.p_wire\[14\]\[10\],377.34
clknet_5_8__leaf_clk,375.7
net31,373.92
_16228_,372.89
clknet_5_4__leaf_clk,372.34
_14319_,372.3
clknet_5_29__leaf_clk,370.92
_16494_,370.65
clknet_5_31__leaf_clk,369.96
net156,369.1
_09519_,369.04
net355,367.38
u_array.p_wire\[14\]\[11\],362.7
net200,362.4
_10475_,362.17
net87,362.11
u_array.p_wire\[14\]\[8\],360.64
_10361_,359.94
u_array.p_wire\[14\]\[6\],358.73
net47,357.4
u_array.p_wire\[14\]\[9\],354.06
_11972_,350.22
pre_mul_gen\[3\].u_pre_mul.mul_out\[0\],348.72
clknet_5_20__leaf_clk,347.19
net121,346.685
clknet_5_14__leaf_clk,344.36
net259,343
pre_mul_gen\[3\].u_pre_mul.mul_out\[13\],338.58
clknet_5_15__leaf_clk,337.89
pre_mul_gen\[3\].u_pre_mul.mul_out\[12\],335.8
u_array.p_wire\[14\]\[2\],335.56
u_array.p_wire\[14\]\[1\],334.58
_10525_,334.52
_12228_,334.48
pre_mul_gen\[3\].u_pre_mul.mul_out\[10\],334.4
u_array.p_wire\[14\]\[12\],332.02
_05147_,331.87
pre_mul_gen\[3\].u_pre_mul.mul_out\[5\],331.61
_05162_,329.44
u_array.p_wire\[14\]\[13\],328.9
clknet_5_0__leaf_clk,327.47
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[15\],326.72
net216,326.59
net163,324.6
net214,323.66
u_array.p_wire\[14\]\[3\],323.62
clknet_5_17__leaf_clk,323.12
pre_mul_gen\[3\].u_pre_mul.mul_out\[14\],322.78
net56,320.76
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[6\],319.18
net370,319.14
_06769_,318.505
net155,317.575
u_array.p_wire\[14\]\[0\],317.18
_10403_,314.43
net20,313.1
_10272_,313.04
net333,312.99
_16229_,312.5
u_array.p_wire\[14\]\[14\],311.96
net84,310.32
clknet_5_12__leaf_clk,308.93
pre_mul_gen\[0\].u_pre_mul.valid_s1,308.14
_04376_,307.56
u_array.p_wire\[14\]\[4\],307.44
net329,307.22
_07566_,306.365
pre_mul_gen\[3\].u_pre_mul.mul_out\[3\],305.34
net138,304.98
u_array.p_wire\[14\]\[5\],303.8
net248,303.18
clknet_5_7__leaf_clk,302.29
net98,301.05
pre_mul_gen\[3\].u_pre_mul.mul_out\[1\],300.28
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[9\],297.73
net148,295.15
_10300_,294.72
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[5\],294.44
_15671_,291.94
pre_mul_gen\[3\].u_pre_mul.mul_out\[11\],290.95
_12933_,288.38
net54,288.2
_15106_,287.06
net413,286.13
net203,285.92
pre_mul_gen\[1\].u_pre_mul.exp_s1\[0\],285.58
_10286_,285
net25,284.86
net42,284.08
net191,283.98
clknet_5_10__leaf_clk,283.87
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[4\],283.78
_14314_,282.42
net602,281.62
net850,281.1
net398,280.13
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[14\],280.04
_10314_,279.115
_07565_,278.87
net230,278.38
_15964_,277.54
u_array.p_wire\[14\]\[15\],276.9
pre_mul_gen\[3\].u_pre_mul.sign_s1,276.44
net99,275.85
net346,275.19
net899,274.72
_08021_,274.4
_10281_,273.86
pre_mul_gen\[3\].u_pre_mul.mul_out\[7\],273.48
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[13\],272.78
_10430_,271.96
net257,269.83
net26,269.8
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[7\],269.77
u_array.row_gen\[2\].col_gen\[0\].u_pe.w_out,269.57
net126,268.53
clknet_5_6__leaf_clk,267.69
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[8\],267.66
_14440_,267.355
_15521_,267.24
net22,266.8
_15450_,266.36
post_mul_gen\[3\].u_post_mul.a_in\[15\],265.8
net1941,264.98
_10346_,263.66
net231,263.6
_15626_,263.26
net60,262.22
